"asin","fnsku","product_name","fulfillment_center","country_code","longest_side","median_side","shortest_side","measurement_units","weight","weight_units","item_volume","volume_units","product_size_tier","average_quantity_on_hand","average_quantity_pending_removal","estimated_total_item_volume","month_of_charge","storage_utilization_ratio","storage_utilization_ratio_units","base_rate","utilization_surcharge_rate","avg_qty_for_sus","est_vol_for_sus","est_base_msf","est_sus","currency","estimated_monthly_storage_fee","dangerous_goods_storage_type","eligible_for_inventory_discount","qualifies_for_inventory_discount","total_incentive_fee_amount","breakdown_incentive_fee_amount","average_quantity_customer_orders"
"B0BMTK8J3P","X004R4A853","VIVOSUN T6 6"" Inline Duct Fan & Temperature Humidity Controller, E42A+ WiFi-App Control AeroZesh Grow Tent Fan& Smart Thermostat, 408 CFM EC Motor Exhaust Fan for Heating Cooling, Greenhouse Accessory","'YYZ9'","CA","33.0","26.0","26.0","centimeters","3.18","kilograms","0.0223","cubic meters","Oversize","0.07","0.0","0.0015","2026-04","9.6","weeks","28.0","0.0","0.07","0.0015","0.0416","0.0","CAD","0.0416","--","N","N","0.0","--","0.0"
"B0CQ4FFJX9","X004DA243P","VIVOSUN 3-Tier Metal Raised Garden Bed, 46"" x 46"" x 24"" Galvanized Steel Metal Outdoor Planter Box with Gloves and Scissors to Grow Flowers, Vegetables and Herbs for Outdoor Gardening, Green","'YYZ9'","CA","124.0","28.3","7.0","centimeters","12.86","kilograms","0.0246","cubic meters","Oversize","5.33","0.0","0.131","2026-04","9.6","weeks","28.0","0.0","0.0","0.0","3.6683","0.0","CAD","3.6683","--","N","N","0.0","--","0.0"
"B0CYZPJMJR","X004GPQEA1","VIVOSUN AeroStream H19 Intelligent Environmental 19L Humidifier with Temp & Humidity Probe, Top Control Panel, Smart Remote Control, Designed Specifically for Use with Grow Tents","'YYZ9'","CA","75.5","34.0","31.0","centimeters","6.64","kilograms","0.0796","cubic meters","Oversize","0.2","0.03","0.0133","2026-04","9.6","weeks","28.0","0.0","0.17","0.0133","0.3714","0.0","CAD","0.3714","--","N","N","0.0","--","0.0"
"B0CYZPJMJR","X004GPQEA1","VIVOSUN AeroStream H19 Intelligent Environmental 19L Humidifier with Temp & Humidity Probe, Top Control Panel, Smart Remote Control, Designed Specifically for Use with Grow Tents","'YYZ9'","CA","75.5","34.0","31.0","centimeters","6.64","kilograms","0.0796","cubic meters","Oversize","0.13","0.0","0.0106","2026-04","9.6","weeks","28.0","0.0","0.0","0.0","0.2971","0.0","CAD","0.2971","--","N","N","0.0","--","0.0"
"B0DPFYQGVD","X004HJ0Z2T","VIVOSUN Lumaray LED Grow Light Bars 16”(8-Bar), Full Spectrum Side Lighting with 60% Red Light up to 25% Yields for Grow Tents, Greenhouses, Magnet Reliability Upgraded, SGS Compatible","'YYZ9'","CA","50.17","24.13","11.43","centimeters","2.81","kilograms","0.0138","cubic meters","Oversize","3.37","0.0","0.0466","2026-04","9.6","weeks","28.0","0.0","0.07","9.0E-4","1.3043","0.0","CAD","1.3043","--","N","N","0.0","--","0.0"
"B0DPFXS6PT","X004HJ6Q95","VIVOSUN Lumaray LED Grow Light Bars 16”(4-Bar), Full Spectrum Side Lighting with 60% Red Light up to 25% Yields for Grow Tents, Greenhouses, Magnet Reliability Upgraded, SGS Compatible","'YYZ9'","CA","50.01","20.29","6.5","centimeters","1.4","kilograms","0.0066","cubic meters","Oversize","4.2","0.0","0.0271","2026-04","9.6","weeks","28.0","0.0","0.27","0.0018","0.7577","0.0","CAD","0.7577","--","N","N","0.0","--","0.1"
"B0DPGZM859","X004HK93Z3","VIVOSUN 2’’ Depth Ground Grid, 6.5 x 17 ft, High-Density HDPE Geo Cell, 1885 lb per sq ft Load, Foldable & Tensile, Easy Installation with Gloves, Ideal for Gardens, Driveways, Pathways, Slopes","'YYZ9'","CA","108.59","26.67","6.99","centimeters","6.77","kilograms","0.0202","cubic meters","Oversize","9.57","0.0","0.1915","2026-04","9.6","weeks","28.0","0.0","9.47","0.1915","5.3619","0.0","CAD","5.3619","--","N","N","0.0","--","0.1"
"B0DSD11B76","X004IWTW1P","VIVOSUN 1.6 Gal/6L Pump Sprayer, Garden Water Sprayer for Plants, Weeds & Lawn Care, with 3 Nozzles, 50'' Long Hose & Pressure Relief Valve","'YYZ9'","CA","48.0","18.5","18.5","centimeters","1.4","kilograms","0.0164","cubic meters","Oversize","9.6","0.0","0.1561","2026-04","9.6","weeks","28.0","0.0","0.23","0.0038","4.3699","0.0","CAD","4.3699","--","N","N","0.0","--","0.1"
"B0D7HNXMGL","X004J3PXHF","VIVOSUN 4-Pack FlexFeed Self-Watering Pots, Auto Irrigation Fabric Pot Base with Water Meter & Maintenance Window, for Use Indoors/Outdoors in Grow Tents, Greenhouses, Gardens","'YYZ9'","CA","38.86","38.61","20.07","centimeters","4.63","kilograms","0.0301","cubic meters","Oversize","27.67","0.0","0.833","2026-04","9.6","weeks","28.0","0.0","0.07","0.002","23.3227","0.0","CAD","23.3227","--","N","N","0.0","--","0.0"
"B0FGZYYJ48","X004R42SFL","VIVOSUN Smart Air Filtration PRO Kit 8"", AeroZesh T8 Inline Duct Fan with GrowHub E42A+, Temperature Humidity Controller, Carbon Filter & Ducting Ventilation System for Grow Tent, Hydroponics","'YYZ9'","CA","68.81","56.49","34.11","centimeters","15.67","kilograms","0.1326","cubic meters","Oversize","3.6","0.0","0.4773","2026-04","9.6","weeks","28.0","0.0","0.0","0.0","13.3654","0.0","CAD","13.3654","--","N","N","0.0","--","0.0"
"B0FGN1G489","X004R42SXD","VIVOSUN AeroZesh T8 8-Inch 832 CFM Inline Duct Fan with GrowHub Controller E42A+, Programmable PWM-Controlled EC Fan Ventilation Exhaust Fan for Grow Tent, Low Noise","'YYZ9'","CA","35.56","27.94","25.4","centimeters","4.49","kilograms","0.0252","cubic meters","Oversize","7.73","0.0","0.1952","2026-04","9.6","weeks","28.0","0.0","0.0","0.0","5.4645","0.0","CAD","5.4645","--","N","N","0.0","--","0.0"
"B0CBPHLMKY","X004R497JL","VIVOSUN Smart Air Filtration PRO T4 Kit 4"", AeroZesh T4 Inline Duct Fan w/GrowHub E42A+ Temp. Humidity WiFi-Controller, Carbon Filter & Ducting, Cooling & Ventilation System for Grow Tent, Hydroponics","'YYZ9'","CA","56.9","35.56","22.61","centimeters","6.55","kilograms","0.0457","cubic meters","Oversize","0.13","0.0","0.0061","2026-04","9.6","weeks","28.0","0.0","0.13","0.0061","0.1708","0.0","CAD","0.1708","--","N","N","0.0","--","0.0"
"B0CBPHLMKY","X004R497JL","VIVOSUN Smart Air Filtration PRO T4 Kit 4"", AeroZesh T4 Inline Duct Fan w/GrowHub E42A+ Temp. Humidity WiFi-Controller, Carbon Filter & Ducting, Cooling & Ventilation System for Grow Tent, Hydroponics","'YYZ9'","CA","56.9","35.56","22.61","centimeters","6.55","kilograms","0.0457","cubic meters","Oversize","7.8","0.0","0.3552","2026-04","9.6","weeks","28.0","0.0","0.3","0.0137","9.9463","0.0","CAD","9.9463","--","N","N","0.0","--","0.03"
"B0CBPK262W","X004R497RD","VIVOSUN Smart Air Filtration PRO T6 Kit 6"", AeroZesh T6 Inline Duct Fan w/GrowHub E42A+ Temp. Humidity WiFi-Controller, Carbon Filter & Ducting, Cooling & Ventilation System for Grow Tent, Hydroponics","'YYZ9'","CA","93.98","27.64","26.67","centimeters","9.48","kilograms","0.0693","cubic meters","Oversize","3.6","0.0","0.2494","2026-04","9.6","weeks","28.0","0.0","0.0","0.0","6.982","0.0","CAD","6.982","--","N","N","0.0","--","0.0"
"B0CBRPS1N8","X004R498QX","VIVOSUN Smart Air Filtration PRO G6 Kit 6"", AeroZesh G6 Inline Duct Fan w/GrowHub E42A Temp. Humidity WiFi-Controller, Carbon Filter & Ducting, Cooling & Ventilation System for Grow Tent, Hydroponics","'YYZ9'","CA","93.22","27.43","26.67","centimeters","9.75","kilograms","0.0682","cubic meters","Oversize","5.93","0.0","0.4046","2026-04","9.6","weeks","28.0","0.0","0.67","0.0455","11.3302","0.0","CAD","11.3302","--","N","N","0.0","--","0.0"
"B0CNVJL7KH","X004DA239F","VIVOSUN 3.6 x 1.3Ft Wooden Raised Garden Bed, 43.5 x 16 x 14 Inches, Outdoor Wood Planter Box with Screwdriver and a Liner for Gardening, Patio, Balcony, Backyard and Outdoors","'YYZ9'","CA","112.0","38.0","12.0","centimeters","7.12","kilograms","0.0511","cubic meters","Oversize","45.93","0.0","2.3459","2026-04","9.6","weeks","28.0","0.0","3.03","0.1549","65.6855","0.0","CAD","65.6855","--","N","N","0.0","--","0.0"
"B0BMTK8J3P","X004R4A853","VIVOSUN T6 6"" Inline Duct Fan & Temperature Humidity Controller, E42A+ WiFi-App Control AeroZesh Grow Tent Fan& Smart Thermostat, 408 CFM EC Motor Exhaust Fan for Heating Cooling, Greenhouse Accessory","'YYZ9'","CA","33.0","26.0","26.0","centimeters","3.18","kilograms","0.0223","cubic meters","Oversize","20.8","0.0","0.464","2026-04","9.6","weeks","28.0","0.0","0.0","0.0","12.9922","0.0","CAD","12.9922","--","N","N","0.0","--","0.0"
"B0C6SCF6R1","X004R4A9AR","VIVOSUN AeroZesh G8 Inline Duct Fan, Quiet 8"" 807 CFM Ventilation Exhaust Fan w/EC Motor and GrowHub E42A Temperature Humidity WiFi-Controller for Heating Cooling Booster, Grow Tents, Hydroponics","'YYZ9'","CA","39.37","30.48","28.58","centimeters","4.78","kilograms","0.0343","cubic meters","Oversize","12.33","0.0","0.4229","2026-04","9.6","weeks","28.0","0.0","0.0","0.0","11.8415","0.0","CAD","11.8415","--","N","N","0.0","--","0.0"
"B0CBRSM7H7","X004R4AHSB","VIVOSUN Smart Air Filtration PRO G4 Kit 4"", AeroZesh G4 Inline Duct Fan w/GrowHub E42A+ Temp. Humidity WiFi-Controller, Carbon Filter & Ducting, Cooling & Ventilation System for Grow Tent, Hydroponics","'YYZ9'","CA","57.15","35.56","21.59","centimeters","6.83","kilograms","0.0439","cubic meters","Oversize","11.0","0.0","0.4826","2026-04","9.6","weeks","28.0","0.0","0.0","0.0","13.5139","0.0","CAD","13.5139","--","N","N","0.0","--","0.0"
"B08GPTLSZH","X004RRU8TB","VIVOSUN VS4000 LED Grow Light with Samsung LM301 Diodes &Brand Driver Dimmable Lights Sunlike Full Spectrum for Seedling Veg & Bloom Plant Grow Lamp for 4x4/5x5 Grow Tent","'YYZ9'","CA","67.56","67.31","13.72","centimeters","9.98","kilograms","0.0624","cubic meters","Oversize","0.1","0.0","0.0062","2026-04","9.6","weeks","28.0","0.0","0.1","0.0062","0.1747","0.0","CAD","0.1747","--","N","N","0.0","--","0.0"
"B08GPTLSZH","X004RRU8TB","VIVOSUN VS4000 LED Grow Light with Samsung LM301 Diodes &Brand Driver Dimmable Lights Sunlike Full Spectrum for Seedling Veg & Bloom Plant Grow Lamp for 4x4/5x5 Grow Tent","'YYZ9'","CA","67.56","67.31","13.72","centimeters","9.98","kilograms","0.0624","cubic meters","Oversize","31.2","0.0","1.9358","2026-04","9.6","weeks","28.0","0.0","0.1","0.0062","54.2013","0.0","CAD","54.2013","--","N","N","0.0","--","0.17"
"B09LQCSC8P","X004RS11J1","VIVOSUN VS1500 LED Grow Light with Samsung LM301 Diodes & Daisy Chain Driver Dimmable Lights Sunlike Full Spectrum for Indoor Plants Seedling Veg and Bloom Plant Grow Lamps for 3x3 Grow Tent","'YYZ9'","CA","43.82","41.28","8.89","centimeters","3.88","kilograms","0.0161","cubic meters","Oversize","0.77","0.33","0.007","2026-04","9.6","weeks","28.0","0.0","0.43","0.007","0.1951","0.0","CAD","0.1951","--","N","N","0.0","--","0.0"
"B09LQCSC8P","X004RS11J1","VIVOSUN VS1500 LED Grow Light with Samsung LM301 Diodes & Daisy Chain Driver Dimmable Lights Sunlike Full Spectrum for Indoor Plants Seedling Veg and Bloom Plant Grow Lamps for 3x3 Grow Tent","'YYZ9'","CA","43.82","41.28","8.89","centimeters","3.88","kilograms","0.0161","cubic meters","Oversize","7.1","0.0","0.1141","2026-04","9.6","weeks","28.0","0.0","0.1","0.0016","3.1962","0.0","CAD","3.1962","--","N","N","0.0","--","0.0"
"B0BY7PSQ69","X004T1FC2X","VIVOSUN GIY Smart Grow Tent System 2x2, WiFi-Integrated Grow Tent Kit, with Automate Ventilation and Circulation, Schedule Full Spectrum 100W LED Grow Light, and GrowHub E42A+ Controller","'YYZ9'","CA","75.18","38.1","37.08","centimeters","17.58","kilograms","0.1062","cubic meters","Oversize","2.23","0.0","0.2372","2026-04","9.6","weeks","28.0","0.0","0.33","0.0354","6.6428","0.0","CAD","6.6428","--","N","N","0.0","--","0.0"
"B08LGQ3XDZ","X004T1G9EN","VIVOSUN Grow Tent Kit, 2.7 × 2.7ft Complete Grow System, WiFi-Controlled Grow System with Full Spectrum LED Grow Light, Automatic Ventilation, GrowHub Outlet A22 with Temperature and Humidity Sensor","'YYZ9'","CA","86.36","43.18","35.56","centimeters","20.62","kilograms","0.1326","cubic meters","Oversize","3.2","0.0","0.4243","2026-04","9.6","weeks","28.0","0.0","0.0","0.0","11.8813","0.0","CAD","11.8813","--","N","N","0.0","--","0.0"
"B08LGP2N34","X004T1IIUL","VIVOSUN Grow Tent Kit, 2 × 2ft 1-Plant System, WiFi-Controlled Grow System with Full Spectrum LED Grow Light, Automatic Ventilation, GrowHub Outlet A22 with Temperature and Humidity Sensor","'YYZ9'","CA","69.34","42.42","35.56","centimeters","15.76","kilograms","0.1046","cubic meters","Oversize","2.53","0.0","0.265","2026-04","9.6","weeks","28.0","0.0","0.07","0.007","7.4192","0.0","CAD","7.4192","--","N","N","0.0","--","0.0"
"B0BY7SRP8R","X004T1KAPH","VIVOSUN Smart Grow Tent Kit 2.7 × 2.7ft WiFi-Integrated Automatic Complete Grow System with Full Spectrum LED Grow Light, Efficient Ventilation System with GrowHub E42A+ Controller","'YYZ9'","CA","86.36","51.56","31.24","centimeters","21.48","kilograms","0.1391","cubic meters","Oversize","2.17","0.0","0.2968","2026-04","9.6","weeks","28.0","0.0","0.07","0.0093","8.31","0.0","CAD","8.31","--","N","N","0.0","--","0.03"
"B0CMQ5FG7K","X004X66QBP","VIVOSUN GIY Plus Smart Grow Tent Kit, 2x2ft 1-Plant System, WiFi-Integrated Automatic Grow System with 2000D Mylar Grow Tent, Full-Spectrum Programmable Grow Light, Enhanced Ventilation & Circulation","'YYZ9'","CA","67.31","52.07","36.83","centimeters","21.86","kilograms","0.1291","cubic meters","Oversize","1.2","0.0","0.1549","2026-04","9.6","weeks","28.0","0.0","0.0","0.0","4.3372","0.0","CAD","4.3372","--","N","N","0.0","--","0.0"
"B0G4MBQ2VD","X004XK33XZ","VIVOSUN Grow Tent High CFM Kit, Heavy-Duty Mounting Bars, High Airflow Support Pole Kit 24""-36"" Adjustable, Suitable for 2’×2’, 2.3’×2.3’, 2.7’×2.7’, and 3’×3’ Tents, 4-Pack","'YYZ9'","CA","39.29","11.61","9.6","centimeters","1.14","kilograms","0.0044","cubic meters","Standard-Size","2.0","0.0","0.0086","2026-04","7.5","weeks","40.0","0.0","0.03","1.0E-4","0.3456","0.0","CAD","0.3456","--","N","N","0.0","--","0.03"
"B0CRDP18Q6","X00440KG3T","VIVOSUN Window Duct Kit, Portable AC Window Seal Kit with 5.9"" Diameter 59"" Length Hose, Fit with 4""/6"" Ducting for Sliding Window, Adjustable AC Vent Kit for Duct Fans, Air Conditioner, Dryer","'YYZ9'","CA","45.2","19.9","19.7","centimeters","2.48","kilograms","0.0177","cubic meters","Oversize","0.37","0.0","0.0065","2026-04","9.6","weeks","28.0","0.0","0.37","0.0065","0.1819","0.0","CAD","0.1819","--","N","N","0.0","--","0.0"
