"asin","asin_fee_category","fnsku","product_name","longest_side","median_side","shortest_side","measurement-units","unit_weight","dimensional_weight","shipping_weight","weight_units","sku_sizetier","month_of_shipment","asin_shipped_units","asin_return_threshold_percent","asin_return_threshold_units","asin_returned_units","sku_returned_units_NSP_exempted","sku_returned_units_charged","sku_fee_per_unit","sku_returns_fee","month_of_charge","currency"
"B0D2GZ1N8T","Tools and Home Improvement","X0047QBH3X","VIVOGROW Submersible Deep Well Pump, 2HP 230V/60Hz,37GPM, 380ft Head, Stainless Steel Water Pump with Additional Brass Check Valve and 10ft Power Cord for Irrigation, Industrial & Home Use","40.50","6.50","5.75","inches","31.75","10.89","32.0","pounds","LargeBulky","2026-01","29","0.0870","0","4","0","1","16.66","16.66","2026-04","USD"
"B0CG1MWVFW","Tools and Home Improvement","X003XOGWOJ","VIVOSUN Outdoor Handrail, 2 Step Stair Handrail, 26"" x 36"" Fits 1 to 2 Steps, Wrought Mattle Iron Stair Railing with Curved Ends and Balusters for Concrete Steps, Porch Steps, One-step Assembly, Black","37.40","8.40","5.90","inches","14.8","13.33","15.0","pounds","LargeBulky","2026-01","203","0.0870","0","19","0","1","11.22","11.22","2026-04","USD"
"B0CH7Y7M95","Home and Kitchen","X003YCHZDH","VIVOSUN 4 Inch Prefilter for 4"" Carbon Filter, Black, 9.84"" Long","8.00","6.00","1.00","inches","0.07","0.35","0.38","pounds","UsLargeStandardSize","2026-01","37","0.0810","0","4","0","1","2.70","2.70","2026-04","USD"
"B0CMQ4VMHM","Lawn and Garden","X004T1EK8F","VIVOSUN Smart Pro Grow Tent Kit 4×4 Complete Smart Grow System WiFi-Integrated Automatic Control GrowHub E42A+, 2-in-1 Tunable Spectrum LED Grow Light, 360° Ventilation & Circulation Control System","51.00","18.50","16.00","inches","95.5","108.6","109.0","pounds","ExtraLarge150","2026-01","30","0.0770","0","4","0","0","80.95","0.00","2026-04","USD"
"B0CMQ4VMHM","Lawn and Garden","X004X6BF2F","VIVOSUN Smart Pro Grow Tent Kit 4×4 Complete Smart Grow System WiFi-Integrated Automatic Control GrowHub E42A+, 2-in-1 Tunable Spectrum LED Grow Light, 360° Ventilation & Circulation Control System","51.00","18.50","16.00","inches","95.5","108.6","109.0","pounds","ExtraLarge150","2026-01","30","0.0770","0","4","0","1","80.95","80.95","2026-04","USD"
"B0CP5QJC7C","Lawn and Garden","X0041ZUFKL","VIVOSUN 15-Amp Electric Wood Chipper Shredder with 1.57"" Hopper & 50L Collection Bag, Includes Plunger, Extra Carbon Blades, Safety Goggles & Gloves for Yard Waste, Branches, and Leaves (Green)","26.75","14.20","11.05","inches","24.2","30.2","31.0","pounds","LargeBulky","2026-01","36","0.0770","0","4","0","1","16.34","16.34","2026-04","USD"
"B0CPP7L8QW","Tools and Home Improvement","X0042B5LS5","VIVOSUN Outdoor Handrail, 2 Step Stair Handrail, 31.5"" x 39"" Fits 1 to 2 Steps, Wrought Mattle Iron Stair Railing with Single Curved End for Concrete Steps, Porch Steps, One-Step Assembly, Black","41.00","7.00","5.00","inches","8.86","10.32","11.0","pounds","LargeBulky","2026-01","29","0.0870","0","4","0","1","9.94","9.94","2026-04","USD"
"B0CQJDT91K","Tools and Home Improvement","X0042PJL1T","VIVOSUN 1800 GPH Submersible Water Pump with Barrier Bag, 100W Pond Pump with 14FT. Lift Height, Ultra Quiet Aquarium Pump for Pond, Waterfall, Fish Tank, Statuary, Hydroponic","12.80","7.17","6.69","inches","7.41","4.42","7.5","pounds","UsLargeStandardSize","2026-01","35","0.0870","0","6","0","2","5.90","11.80","2026-04","USD"
"B0CWN3M47J","Home and Kitchen","X0045CUB1D","VIVOSUN Quiet Register Booster Fan, Smart Register Vent with Thermostat Control, Fits 4”×10” Register Holes, Heating Cooling AC Vent Fan, Black","15.27","6.26","2.72","inches","2.09","1.87","2.25","pounds","UsLargeStandardSize","2026-01","60","0.0810","0","7","0","2","4.66","9.32","2026-04","USD"
"B0CXPHT5GC","Pet Products","X0045U0PRZ","VIVOSUN Aquarium Wave Maker, 3432GPH Circulation Pump with Controller & Magnetic Suction Base, Adjustable Submersible Powerhead for 60-300 Gal Freshwater/Saltwater Fish Tank, 40W","9.21","6.26","3.90","inches","2.71","1.62","2.75","pounds","UsLargeStandardSize","2026-01","25","0.1020","0","6","0","3","4.71","14.13","2026-04","USD"
