"return-date","order-id","sku","asin","fnsku","product-name","quantity","fulfillment-center-id","detailed-disposition","reason","status","license-plate-number","customer-comments"
"2026-05-15T06:38:32+00:00","113-0234422-0225816","311001-10x5NJ","B00VWU30PO","X001F1COM1","VIVOSUN 5-Pack 10 Gallon Plant Grow Bags, Heavy Duty Thickened Nonwoven Fabric Pots with Handles","1","IAH1","SELLABLE","UNWANTED_ITEM","Unit returned to inventory","LPNAC497536861","Changed Mind|My needs changed"
"2026-05-15T06:36:35+00:00","114-8370439-9655462","311001-30x5NJ","B00VWU35F4","X001F1PO69","VIVOSUN 5-Pack 30 Gallons Grow Bags, Heavy Duty Thickened Nonwoven Fabric Pots with Handles","1","CHA1","CUSTOMER_DAMAGED","NOT_AS_DESCRIBED","Unit returned to inventory","LPNNE6Q11QSLX",
"2026-05-15T06:33:19+00:00","112-5886278-3799427","SST-1-0001","B0BTD741R3","X003OVGTDF","VIVOSUN 1-Pack 40-Cell Seed Starter Trays with 1 Set of LED Lights and 10""x20.75"" Seedling Heat Mat, 3.6"" Higher Cover, Adjustable Vents, Drainage Holes, Green Propagation Tray for Planting Seeds","1","JHW1","SELLABLE","UNWANTED_ITEM","Unit returned to inventory","LPNPMFM0945872","We are moving and no longer need this"
"2026-05-15T06:30:45+00:00","112-7314202-2031456","306101W-4J","B01M7S46YZ","X0018M0OF1","VIVOSUN D4 4 Inch 195 CFM Inline Duct Ventilation Fan, HVAC Vent Blower for Grow Tent, Attic, Basements or Kitchen, Hydroponics Exhaust Booster Fan","1","JHW1","SELLABLE","UNWANTED_ITEM","Unit returned to inventory","LPNPMFM0945871","We are moving and no longer need this"
"2026-05-15T06:26:02+00:00","111-7214305-8421036","332572J","B07L54HB83","X001Z5JQOB","VIVOSUN 800GPH Submersible Pump(3000L/H, 24W), Ultra Quiet Water Fountain Pump with 10ft. High Lift with 6.5ft. Power Cord, 3 Nozzles for Fish Tank, Pond, Aquarium, Statuary, Hydroponics Green","1","CHA1","SELLABLE","UNWANTED_ITEM","Unit returned to inventory","LPNND6MG5VRMN","Changed Mind|My needs changed"
"2026-05-15T06:24:26+00:00","111-7914687-8844221","330101NJ","B00P7U259C","X001YUGJ3X","VIVOSUN Durable Waterproof Seedling Heat Mat 10"" x 20.75"" UL & MET-Certified Warm Hydroponic Heating Pad for Germination, Indoor Gardening, Greenhouse","1","LAS2","SELLABLE","UNWANTED_ITEM","Unit returned to inventory","LPNPMGN3141835","Changed Mind|Found other item"
"2026-05-15T06:20:23+00:00","114-8304966-6937840","332572J","B07L54HB83","X001Z5JQOB","VIVOSUN 800GPH Submersible Pump(3000L/H, 24W), Ultra Quiet Water Fountain Pump with 10ft. High Lift with 6.5ft. Power Cord, 3 Nozzles for Fish Tank, Pond, Aquarium, Statuary, Hydroponics Green","1","LEX1","SELLABLE","NOT_AS_DESCRIBED","Unit returned to inventory","LPNNE65NNTKBX","I&#39;m sure the pump works just fine, but it&#39;s the wrong type for what I was going to use it for."
"2026-05-15T06:15:51+00:00","114-0596709-9808261","306109-4C","B0FHQ7WGSX","X004RI8WKR","VIVOSUN 4'' Flexible Aluminum Duct, 25 FT Long Heavy-Duty Multi-Layer Air Hose for HVAC Ventilation, Dryer Vent Hose for Grow Tents and Duct Fan Systems, 2 Clamps Included","1","IND8","CUSTOMER_DAMAGED","NOT_COMPATIBLE","Unit returned to inventory","LPNO551048800",
"2026-05-15T06:10:22+00:00","111-0568527-5645053","305130-PEN","B06XKMH86J","X001CXZH71","VIVOSUN Digital pH and TDS Meter Kits, 0.01pH High Accuracy Pen Type pH Meter ± 2% Readout Accuracy 3-in-1 TDS EC Temperature Meter for Hydroponics, Pool and Aquarium, Yellow Blue, UL Certified","1","LEX1","SELLABLE","DEFECTIVE","Unit returned to inventory","LPNND6C4KXL9G","I can’t figure out how to make it work"
"2026-05-15T06:07:43+00:00","111-7755261-0688242","311001-15x5NJ","B00VWU37QG","X001F3MYOR","VIVOSUN 5-Pack 15 Gallon Plant Grow Bags, Heavy Duty Thickened Nonwoven Fabric Pots with Handles","1","HOU3","SELLABLE","UNWANTED_ITEM","Unit returned to inventory","LPNPMGV2226743","Changed Mind|My needs changed|I can’t use how I wanted"
"2026-05-15T06:07:26+00:00","701-6482206-4963469","330101-01K","B00P7U259C","X000U6HQI9","VIVOSUN Durable Waterproof Seedling Heat Mat 10"" x 20.75"" UL & MET-Certified Warm Hydroponic Heating Pad for Germination, Indoor Gardening, Greenhouse","1","YYZ1","CUSTOMER_DAMAGED","DEFECTIVE","Unit returned to inventory","LPNNB6GSPGVRW",
"2026-05-15T05:57:20+00:00","114-2887589-4081816","VSE-ASH05","B0DHGP2JQ8","X004EF01YX","VIVOSUN AeroStream H05 Intelligent Wi-Fi Humidifier, 1.32 Gal / 5 L Humidifier with Temp & Humidity Probe, Smart Remote Control, Designed for Growers","1","LAS2","CUSTOMER_DAMAGED","ORDERED_WRONG_ITEM","Unit returned to inventory","LPNPMGN3363813",
"2026-05-15T05:54:20+00:00","112-2775849-6093842","RC-0001-4","B0BW94JFT3","X003Q1X7NX","VIVOSUN 1.6"" Rockwool Cubes, 112 Plugs Stonewool Starter Grow Cubes for Cuttings, Cloning, Plant Propagation, Seed Starting, Hydroponic Grow Media for Vigorous Plant Growth, 4 Sheets of 112 Plugs","1","MEM3","SELLABLE","POOR_FIT","Unit returned to inventory","LPNNB6LG37WCM","Incorrect Size|Too large for my net pots|I don’t think so - size mismatch"
"2026-05-15T05:52:50+00:00","114-9647357-4307404","311001-5x5NJ","B00TF9E6XE","X001F1MPD9","VIVOSUN 5-Pack 5 Gallon Grow Bags Heavy Duty 300G Thickened Nonwoven Plant Fabric Pots with Handles","1","MEM3","CUSTOMER_DAMAGED","APPAREL_TOO_SMALL","Unit returned to inventory","LPNNC64PV44J8",
